Episode: 11, Record: -33.46083316802979
Episode: 16, Record: -33.03083324432373
Episode: 17, Record: -33.01483287811279
Episode: 35, Record: -32.690999603271486
Episode: 36, Record: -32.49916667938233
Episode: 37, Record: -32.2828332901001
Episode: 39, Record: -32.21233348846435
Episode: 40, Record: -31.454833221435546
Episode: 66, Record: -30.643833351135253
Episode: 68, Record: -30.365833473205566
Episode: 69, Record: -30.200500106811525
Episode: 74, Record: -29.892000198364258
Episode: 274, Record: -29.788666343688966
Episode: 297, Record: -29.74766674041748
Episode: 298, Record: -29.494833374023436
Episode: 299, Record: -29.055500030517578
Episode: 301, Record: -28.864666748046876
Episode: 302, Record: -28.65049991607666
Episode: 314, Record: -28.30366668701172
Episode: 317, Record: -28.141500091552736
Episode: 318, Record: -28.128333282470702
Episode: 319, Record: -28.077000045776366
Episode: 320, Record: -27.563999938964844
Episode: 321, Record: -27.084333229064942
Episode: 323, Record: -27.080166625976563
Episode: 325, Record: -27.021333312988283
Episode: 720, Record: -26.959000015258788
Episode: 721, Record: -26.903333282470705
Episode: 723, Record: -26.841833305358886
Episode: 821, Record: -26.809333419799806
Episode: 967, Record: -26.753000259399414
Episode: 1108, Record: -26.680166816711427
Episode: 1139, Record: -26.65433349609375
Episode: 1354, Record: -26.59233341217041
Episode: 2988, Record: -26.170666885375976
Episode: 3067, Record: -26.09650001525879
Episode: 3194, Record: -25.78466663360596
Episode: 3195, Record: -25.68733329772949
Episode: 3407, Record: -25.33966655731201
